"","COMMENT_ID","AUTHOR","DATE","CONTENT","CLASS","key","YID"
"1","z12rwfnyyrbsefonb232i5ehdxzkjzjs2","Lisa Wellas",NA,"+447935454150 lovely girl talk to me xxx<U+FEFF>",1,"Eminem","uelHwf8o7_U"
"2","z130wpnwwnyuetxcn23xf5k5ynmkdpjrj04","jason graham",2015-05-29 02:26:10,"I always end up coming back to this song<br /><U+FEFF>",0,"Eminem","uelHwf8o7_U"
"3","z13vsfqirtavjvu0t22ezrgzyorwxhpf3","Ajkal Khan",NA,"my sister just received over 6,500 new <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23active"">#active</a> youtube views Right now. The only thing she used was pimpmyviews. com<U+FEFF>",1,"Eminem","uelHwf8o7_U"
"4","z12wjzc4eprnvja4304cgbbizuved35wxcs","Dakota Taylor",2015-05-29 02:13:07,"Cool<U+FEFF>",0,"Eminem","uelHwf8o7_U"
"5","z13xjfr42z3uxdz2223gx5rrzs3dt5hna","Jihad Naser",NA,"Hello I&#39;am from Palastine<U+FEFF>",1,"Eminem","uelHwf8o7_U"
"6","z133yfmjdur4dvyjr04ceh2osl2fvngrqi4","Darrion Johnson",2015-05-29 01:27:30,"Wow this video almost has a billion views! Didn&#39;t know it was so popular <U+FEFF>",0,"Eminem","uelHwf8o7_U"
"7","z12zgrw5furdsn0sc233hfwavnznyhicq","kyeman13",NA,"Go check out my rapping video called Four Wheels please <U+2764><U+FE0F><U+FEFF>",1,"Eminem","uelHwf8o7_U"
"8","z12vxdzzds2kzzrzq04cdjc4ozq2szuyl5o","Damax",2015-05-29 00:41:22,"Almost 1 billion<U+FEFF>",0,"Eminem","uelHwf8o7_U"
"9","z12gxdortqzwhhqas04cfjrwituzghb5tvk0k","Muhammad Asim Mansha",NA,"Aslamu Lykum... From Pakistan<U+FEFF>",1,"Eminem","uelHwf8o7_U"
"10","z132wd4ywmicxj2gn04cdfhilyryjhmjhk00k","JuanPa Rap",2015-05-28 23:23:41,"Eminem is idol for very people in España and Mexico or Latinoamerica<U+FEFF>",0,"Eminem","uelHwf8o7_U"
"11","z13si1rx3nnbshdoj04cinipcqzwsdhq0bc","Mjt12",NA,"Help me get 50 subs please <U+FEFF>",1,"Eminem","uelHwf8o7_U"
